SkillID,SkillName,SkillCategory,SkillTendencies,TargetType,VaildRange,MaxTargetCount,SubTargetOffsets,SubTargetDamageRatio,MaxCooldown,MinDamage,MaxDamage,MinHeal,MaxHeal,StatusEffects,AttributeModifiers,Description
SK_M_5_001,신법 이동,DefaultMove,Utility,Self,0,1,,0,1,0,0,0,0,,,지정된 진형 위치로 신속하게 이동합니다.
SK_M_4_002,질풍 순보,DefaultMove,Utility,Self,0,1,,0,2,0,0,0,0,AtkUp_15_1,,전방으로 보법을 밟아 이동하며 1턴간 공격력이 상승합니다.
SK_M_3_003,그림자 잠행,DefaultMove,Utility,Self,0,1,,0,3,0,0,0,0,,,그림자에 숨어 안전한 위치로 이동합니다.
SK_U_0_001,태극 붕괴,Ultimate,Aggressive,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,1,5,40,55,0,0,,YinYang:-30,적 전체에게 데미지를 주고 음양 수치를 폭발적으로 낮춥니다.
SK_U_1_002,광란의 일격,Ultimate,Aggressive,Enemy,1;2,1,,0,4,60,80,0,0,Bleed_5,,하나의 적에게 치명적인 상처를 입혀 출혈 위력 5를 부여합니다.
SK_U_1_003,천명 각성,Ultimate,BuffToAlly,Ally,0;1;2;3,4,-3;-2;-1;+1;+2;+3,0,4,0,0,0,0,AtkUp_3_3,,아군 전체에게 공격력 버프 위력 3을 3턴간 주입합니다.
SK_U_2_004,한빙 결계,Ultimate,DebuffToEnemy,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,0,4,15,25,0,0,Stun_1_1,,얼음 결계를 펼쳐 적 전체에게 피해를 주고 1턴간 기절시킵니다.
SK_U_0_005,선도 치유,Ultimate,Heal,Ally,0;1;2;3,4,-3;-2;-1;+1;+2;+3,1,5,0,0,35,50,,YinYang:20,자연의 기운을 퍼뜨려 아군 전체를 치유하고 음양 수치를 조율합니다.
SK_U_1_006,혈기 폭발,Ultimate,Aggressive,Enemy,1;2,2,1,1,4,30,45,0,0,Bleed_3,,전방의 적 2명에게 상처를 내어 출혈 위력 3을 부여합니다.
SK_U_2_007,연옥의 화염,Ultimate,DebuffToEnemy,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,1,4,20,30,0,0,Burn_4,,지옥의 불꽃으로 적 전체에게 피해를 주고 화상 위력 4를 새깁니다.
SK_U_2_008,파갑 격파,Ultimate,DebuffToEnemy,Enemy,1,1,,0,3,35,50,0,0,DefDown_3_2,,적의 장갑을 부수어 피해를 주고 방어 감소 위력 3을 2턴간 부여합니다.
SK_U_0_009,아수라 강림,Ultimate,BuffToAlly,Self,0,1,,0,5,0,0,0,0,AtkUp_4_2,,아수라의 혼을 불러내어 자신에게 공격 버프 위력 4를 2턴간 부여합니다.
SK_U_0_010,도솔 기양,Ultimate,Utility,Ally,0;1;2;3,4,-3;-2;-1;+1;+2;+3,0,4,0,0,0,0,,YinYang:40,도솔천의 정기로 아군 전체의 음양 게이지를 40만큼 밀어 올립니다.
SK_N_5_001,참격,Normal,Aggressive,Enemy,1;2,1,,0,0,10,15,0,0,,,전방의 적에게 가장 기본적인 물리 데미지를 입힙니다.
SK_N_5_002,불화살,Normal,DebuffToEnemy,Enemy,3;4,1,,0,1,5,8,0,0,Burn_2,,적에게 약한 피해를 주고 화상 위력 2를 새깁니다.
SK_N_5_003,치유의 손길,Normal,Heal,Ally,0;1;2;3,1,,0,1,0,0,15,20,,,상처 입은 아군 1명을 치유합니다.
SK_N_5_004,기합 넣기,Normal,BuffToAlly,Self,0,1,,0,2,0,0,0,0,AtkUp_1_2,,정신을 집중하여 자신에게 공격력 버프 위력 1을 2턴간 부여합니다.
SK_N_4_005,휩쓸기,Normal,Aggressive,Enemy,1;2,2,1,0.5,2,12,18,0,0,,,무기를 크게 휘둘러 전방의 적 2명에게 물리 데미지를 입힙니다.
SK_N_5_006,독침 투척,Normal,DebuffToEnemy,Enemy,3;4;5;6,1,,0,1,4,6,0,0,Bleed_2,,침을 던져 미미한 피해를 주고 출혈 위력 2를 부여합니다.
SK_N_4_007,음기 방출,Normal,Utility,Enemy,2;3,1,,0,1,8,12,0,0,,YinYang:-15,적을 타격하여 대상의 음양 게이지를 15만큼 감소시킵니다.
SK_N_4_008,양기 주입,Normal,Utility,Ally,0;1;2;3,1,,0,1,0,0,5,10,,YinYang:15,아군을 치유하며 대상의 음양 게이지를 15만큼 증가시킵니다.
SK_N_4_009,연속 타격,Normal,Aggressive,Enemy,1,1,,0,2,18,24,0,0,,,적의 약점을 빠르게 두 번 타격하여 강력한 피해를 입힙니다.
SK_N_3_010,방패 가격,Normal,DebuffToEnemy,Enemy,1,1,,0,3,10,14,0,0,Stun_1_1,,방패로 강하게 내리쳐 피해를 주고 1턴간 기절 위력 1을 부여합니다.
SK_N_4_011,하단 걷어차기,Normal,Aggressive,Enemy,1;2,2,1,0.3,2,8,12,0,0,,,다리를 걸어 전방의 적 2명에게 가벼운 피해를 입힙니다.
SK_N_5_012,전의 고취,Normal,BuffToAlly,Self,0,1,,0,3,0,0,0,0,AtkUp_2_2,,전의를 다져 자신에게 공격력 버프 위력 2를 2턴간 부여합니다.
SK_N_4_013,방어구 파괴,Normal,DebuffToEnemy,Enemy,2;3,1,,0,2,12,16,0,0,DefDown_1_2,,적의 갑옷을 부수고 피해를 주며 방어 감소 위력 1을 2턴간 부여합니다.
SK_N_4_014,화염 베기,Normal,DebuffToEnemy,Enemy,1;2;3,1,,0,2,14,20,0,0,Burn_3,,불타는 검으로 베어 피해를 주고 화상 위력 3을 새깁니다.
SK_N_4_015,치유의 샘,Normal,Heal,Ally,0;1;2;3,1,,0,2,0,0,20,30,,,따뜻한 기운으로 아군 1명의 HP를 크게 회복시킵니다.
SK_N_3_016,부식성 산,Normal,DebuffToEnemy,Enemy,2;3;4,2,1,0.2,3,6,10,0,0,DefDown_2_2,,산성 액체를 뿌려 적 2명에게 피해를 주고 방어 감소 위력 2를 2턴간 부여합니다.
SK_N_5_017,몽환의 손길,Normal,Utility,Enemy,1;2;3;4,1,,0,1,5,8,0,0,,Dream:-10,환각을 심어 대상의 꿈 게이지를 10만큼 감소시킵니다.
SK_N_5_018,영혼 자극,Normal,Utility,Ally,0;1;2;3,1,,0,1,0,0,0,0,,Dream:10,아군의 영혼을 촉진하여 대상의 꿈 게이지를 10만큼 증가시킵니다.
SK_N_3_019,강타,Normal,Aggressive,Enemy,1,1,,0,2,25,35,0,0,,,묵직한 일격으로 적 하나에게 큰 물리 데미지를 입힙니다.
SK_N_3_020,진형 함성,Normal,BuffToAlly,Ally,0;1;2;3,4,-3;-2;-1;+1;+2;+3,0,3,0,0,0,0,AtkUp_1_2,,전장에 함성을 질러 아군 전체에게 공격력 버프 위력 1을 2턴간 부여합니다.
SK_N_5_021,관통 찌르기,Normal,Aggressive,Enemy,1;2,2,1,0.7,1,15,22,0,0,,,메인 타겟과 그 뒤의 적에게 위력 70%의 대미지를 입힙니다.
SK_N_5_022,양린 베기,Normal,Aggressive,Enemy,1;2,3,-1;+1,0.5,2,12,18,0,0,,,메인 타겟의 앞뒤 적들을 휩쓸며 서브타겟에게 위력 50%의 대미지를 줍니다.
SK_N_5_023,충격파,Normal,Aggressive,Enemy,1;2;3,3,+1;+2,0.4,2,10,14,0,0,,,충격파를 길게 밀어내어 서브타겟들에게 위력 40%의 대미지를 줍니다.
SK_N_5_024,연쇄 번개,Normal,Aggressive,Enemy,1;2,2,2,0.6,2,16,24,0,0,,,한 칸을 건너뛰어 전류를 흐르게 해 위력 60%의 서브 대미지를 줍니다.
SK_N_4_025,진형 치유,Normal,Heal,Ally,-3;-2;-1;+1;+2;+3,2,1,1,2,0,0,10,15,,,타겟 아군과 그 바로 뒤의 아군까지 위력 100%의 효과로 동시 치유합니다.
SK_N_4_026,화염 방사,Normal,DebuffToEnemy,Enemy,1;2,3,+1;+2,0.5,3,8,12,0,0,Burn_2,,불길을 전방 열에 뿜어 위력 50%의 서브 대미지와 화상 위력 2를 새깁니다.
SK_N_3_027,대지진,Normal,DebuffToEnemy,Enemy,1;2;3;4;5;6;7,4,-3;-2;-1;+1;+2;+3,0.3,4,15,20,0,0,Stun_1_1,,전장을 뒤흔들어 적 전체에게 위력 30%의 피해와 1턴간 기절 위력 1을 부여합니다.
SK_N_4_028,심해의 격류,Normal,Aggressive,Enemy,1;2,2,3,0.8,3,20,30,0,0,,,최전방 적을 치고 거센 물살로 최후방 적까지 위력 80%로 타격합니다.
SK_N_4_029,고무 격려,Normal,BuffToAlly,Ally,-3;-2;-1;+1;+2;+3,2,1,1,3,0,0,0,0,AtkUp_1_2,,지정 아군과 그 뒤의 아군에게 공격력 버프 위력 1을 2턴간 주입합니다.
SK_N_4_030,암기 난사,Normal,DebuffToEnemy,Enemy,1;2,3,+1;+3,0.5,2,6,10,0,0,Bleed_2,,부채꼴로 침을 뿌려 서브타겟들에게 위력 50%의 피해와 출혈 위력 2를 줍니다.
SK_N_4_031,음양 파동,Normal,Utility,Enemy,1;2;3,3,-1;+1,0.6,2,8,14,0,0,,YinYang:-10,파동으로 주변 적들을 휩쓸며 위력 60%의 피해와 음양을 10 감소시킵니다.
SK_N_4_032,성역 구축,Normal,Heal,Ally,-3;-2;-1;+1;+2;+3,3,-1;+1,1,3,0,0,12,18,,,성역을 펼쳐 메인 타겟 주변 아군들까지 위력 100%의 효과로 회복시킵니다.
SK_N_3_033,분쇄격,Normal,DebuffToEnemy,Enemy,1,2,1,0.5,2,14,20,0,0,DefDown_2_2,,무거운 타격으로 후방 적까지 위력 50%의 피해와 방어 감소 위력 2를 2턴간 새깁니다.
SK_N_3_034,플래시 폭발,Normal,DebuffToEnemy,Enemy,1;2;3;4,3,-1;+1,0.2,3,5,8,0,0,Stun_1_1,,섬광을 터트려 주변 적들에게 위력 20%의 실명 피해와 1턴간 기절 위력 1을 줍니다.
SK_N_3_035,칼바람,Normal,Aggressive,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,0.4,3,10,16,0,0,,,예리한 돌풍으로 적 전체를 베어내며 서브타겟들에게 위력 40%의 대미지를 입힙니다.
SK_N_5_036,정밀 찌르기,Normal,Aggressive,Enemy,1;3,1,,0,0,18,26,0,0,,,오직 메인 타겟 단 한 명만을 정확히 노려 찔러 치명적인 피해를 입힙니다.
SK_N_4_037,독무 분출,Normal,DebuffToEnemy,Enemy,2;3,3,+1;+2,0.5,2,5,9,0,0,Bleed_1,,독안개를 방출하여 서브타겟들에게 위력 50%의 피해와 출혈 위력 1을 줍니다.
SK_N_5_038,영혼 공명,Normal,Utility,Ally,-3;-2;-1;+1;+2;+3,2,2,1,2,0,0,0,0,,Dream:15,한 칸 건너편의 아군과 영혼을 공명시켜 꿈 수치를 15만큼 전이시킵니다.
SK_N_3_039,공간 왜곡,Normal,Aggressive,Enemy,2;3;4,2,2,0.7,3,22,28,0,0,,,왜곡된 균열을 일으켜 한 칸 뒤 서브타겟에게 위력 70%의 피해를 입힙니다.
SK_N_3_040,조화의 영약,Normal,Utility,Ally,-3;-2;-1;+1;+2;+3,4,-3;-2;-1;+1;+2;+3,1,3,0,0,0,0,,YinYang:20,영약을 뿌려 아군 전체의 음양 수치를 20만큼 일괄 증가시키며 정돈합니다.
SK_N_3_041,흡혈 격파,Normal,Aggressive,Enemy,1;2,1,,0,2,14,20,0,0,Bleed_1,,적을 강하게 타격하여 피해를 주고 출혈 위력 1을 부여합니다.
SK_N_2_042,환영 장벽,Normal,Defensive,Self,0,1,,0,3,0,0,0,0,AtkUp_1_2,,장벽을 세워 방어 태세를 취하고 자신에게 공격력 버프 위력 1을 2턴간 부여합니다.
SK_N_1_043,역천의 명수,Normal,Utility,Enemy,1;2;3,3,-1;+1,0.5,2,10,16,0,0,,YinYang:-20,음양의 파동을 퍼뜨려 주변 적들에게 위력 50%의 피해와 음양 수치를 20 감소시킵니다.
SK_N_4_044,성령의 한결,Normal,Heal,Ally,-3;-2;-1;+1;+2;+3,2,1,1,2,0,0,15,22,,,아군과 그 뒤의 대상까지 위력 100%의 효과로 전개하여 치유합니다.
SK_N_2_045,서리 폭발,Normal,DebuffToEnemy,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,0.3,4,12,18,0,0,Stun_1_1,,서리 돌풍을 일으켜 적 전체에게 위력 30%의 피해를 입히고 1턴간 기절시킵니다.
SK_N_4_046,이중 베기,Normal,Aggressive,Enemy,1;2;3,2,1,0.5,1,12,16,0,0,,,전방의 적과 그 뒤의 서브타겟을 베어 위력 50%의 대미지를 줍니다.
SK_N_3_047,낙뢰,Normal,Aggressive,Enemy,1;2,3,+1;+2,0.6,2,10,14,0,0,,,번개를 떨어트려 메인 타겟 열의 적들에게 위력 60%의 서브 대미지를 줍니다.
SK_N_2_048,정수 약탈,Normal,Utility,Enemy,3;4,1,,0,2,15,22,0,0,,YinYang:-20,적의 정수를 흡수해 피해를 입히고 대상의 음양 게이지를 20 깎아냅니다.
SK_N_5_049,위포 고취,Normal,BuffToAlly,Ally,-3;-2;-1;+1;+2;+3,4,-3;-2;-1;+1;+2;+3,1,3,0,0,0,0,AtkUp_2_2,,진형의 사기를 높여 아군 전체에게 공격력 버프 위력 2를 2턴간 주입합니다.
SK_N_1_050,파쇄 격동,Normal,DebuffToEnemy,Enemy,1;2,2,1,0.5,3,16,24,0,0,DefDown_2_3,,지면을 파쇄하여 타겟과 후방의 적에게 위력 50%의 피해와 방어 감소 위력 2를 3턴간 부여합니다.
SK_N_5_051,명상,Normal,Heal,Self,0,1,,0,2,0,0,10,15,,,마음을 가라앉히고 자신의 체력을 스스로 치유합니다.
SK_N_0_052,신성한 폭발,Normal,Aggressive,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,0.5,3,20,28,0,0,,,성스러운 빛을 터트려 적 전체에게 피해를 주며 서브타겟에게 위력 50%의 대미지를 입립니다.
SK_N_0_053,음양 반전,Normal,Utility,Enemy,2;4,1,,0,3,5,10,0,0,,YinYang:-30,비급의 비술로 적을 타격하며 음양 게이지를 30만큼 폭발적으로 격하시킵니다.
SK_N_3_054,혈독 침,Normal,DebuffToEnemy,Enemy,1;3,1,,0,1,8,12,0,0,Bleed_3,,혈 자리에 독침을 놓아 피해를 입히고 출혈 위력 3을 주입합니다.
SK_N_4_055,파동권,Normal,Aggressive,Enemy,2;3,2,1,0.7,1,14,18,0,0,,,정면으로 기를 방출하여 후방의 적까지 위력 70%의 피해를 줍니다.
SK_N_1_056,연옥의 불꽃,Normal,DebuffToEnemy,Enemy,2;3;4;5;6,3,-1;+1,0.5,2,10,15,0,0,Burn_2,,화염을 일으켜 타겟 주변 적들을 불태우며 위력 50%의 서브 대미지와 화상 위력 2를 새깁니다.
SK_N_5_057,강철 피부,Normal,BuffToAlly,Self,0,1,,0,3,0,0,0,0,AtkUp_1_3,,신체를 강화하여 자신에게 공격력 버프 위력 1을 3턴간 부여합니다.
SK_N_2_058,대지 분쇄,Normal,DebuffToEnemy,Enemy,1;2;3;4,4,-3;-2;-1;+1;+2;+3,0.3,4,8,12,0,0,Stun_1_1,,지면을 크게 붕괴시켜 적 전체에게 위력 30%의 파편 피해와 1턴간 기절을 부여합니다.
SK_N_3_059,고속 치유,Normal,Heal,Ally,0;1;2;3,1,,0,1,0,0,25,35,,,아군 1명에게 치유의 정수를 빠르게 주입하여 HP를 크게 회복시킵니다.
SK_N_0_060,태극 장풍,Normal,Aggressive,Enemy,2;3,3,+1;+2,0.5,2,22,30,0,0,,YinYang:15,장풍을 쏘아보내 일렬의 적들에게 위력 50%의 서브 대미지를 입히고 음양을 15 증가시킵니다.
