UnitID,UnitName,UnitRank,AIBrainType,MaxHP,MinSpeed,MaxSpeed,BaseAttributes,CorrisionImmune,MoveSkill,UltiSkillPool,NormalSkillPool
UN_PC_HongGildong_5,홍길동,5,Player,80,10,14,YinYang:50,TRUE,SK_M_5_001,,SK_N_5_001;SK_N_5_002;SK_N_5_003
UN_PC_HongGildong_3,홍길동,3,Player,120,12,16,YinYang:50,TRUE,SK_M_4_002,SK_U_0_001;SK_U_1_002,SK_N_5_001;SK_N_4_009;SK_N_4_011;SK_N_4_014
UN_PC_HongGildong_1,홍길동,1,Player,200,15,20,YinYang:50,TRUE,SK_M_3_003,SK_U_0_001;SK_U_1_003;SK_U_0_005,SK_N_3_019;SK_N_1_043;SK_N_0_052;SK_N_0_060
UN_PC_KimDoseon_4,김도선,4,Player,100,11,15,YinYang:50,TRUE,SK_M_5_001,,SK_N_5_004;SK_N_4_005;SK_N_3_010
UN_PC_Iljimae_2,이지매,2,Player,110,14,18,Dream:20,TRUE,SK_M_4_002,SK_U_2_004,SK_N_5_006;SK_N_4_013;SK_N_3_016
UN_PC_JeonWuchi_3,전우치,3,Player,130,13,17,YinYang:50,TRUE,SK_M_4_002,SK_U_1_006;SK_U_2_007,SK_N_4_007;SK_N_4_008;SK_N_4_031;SK_N_3_040
UN_PC_SimCheong_1,심청,1,Player,150,9,13,YinYang:50,TRUE,SK_M_5_001,SK_U_0_009;SK_U_0_010,SK_N_5_003;SK_N_4_015;SK_N_4_032;SK_N_4_044
UN_PC_ChunHyang_5,성춘향,5,Player,85,10,14,Dream:50,TRUE,SK_M_5_001,,SK_N_5_012;SK_N_5_017;SK_N_5_018
UN_NM_Slime_5,슬라임,5,Random,40,8,12,YinYang:50,FALSE,SK_M_5_001,,SK_N_5_001;SK_N_5_002
UN_NM_Goblin_4,고블린,4,Sequence,50,10,13,,FALSE,SK_M_5_001,,SK_N_5_001;SK_N_5_006;SK_N_4_011
UN_NM_Skeleton_5,해골 병사,5,Random,45,7,11,YinYang:50,FALSE,SK_M_5_001,,SK_N_5_001;SK_N_4_013
UN_NM_Ghost_3,원귀,3,Sequence,60,12,15,YinYang:50,FALSE,SK_M_4_002,,SK_N_4_007;SK_N_5_017;SK_N_3_016
UN_NM_Bandit_4,산적,4,Random,55,9,13,,FALSE,SK_M_5_001,,SK_N_5_001;SK_N_4_005;SK_N_3_019
UN_NM_Wolf_5,검은 늑대,5,Random,42,13,16,,FALSE,SK_M_5_001,,SK_N_5_006;SK_N_4_011
UN_NM_Cultist_2,흑치 사교도,2,Sequence,70,10,14,YinYang:50,FALSE,SK_M_4_002,,SK_N_4_014;SK_N_4_037;SK_N_5_012;SK_N_3_020
UN_EM_ShadowKnight_2,그림자 기사,2,Strategic,150,11,16,Dream:40,TRUE,SK_M_4_002,SK_U_2_008,SK_N_3_019;SK_N_3_033;SK_N_4_046;SK_N_1_050
UN_BOSS_DarkShaman_1,흑무당,1,Strategic,350,12,17,YinYang:50,TRUE,SK_M_3_003,SK_U_0_001,SK_N_4_007;SK_N_4_026;SK_N_4_031;SK_N_2_048
UN_MLBOSS_AsuraAI_0,아수라 환영,0,MLAgent,600,15,22,YinYang:50,TRUE,SK_M_3_003,SK_U_0_001;SK_U_1_002;SK_U_1_003;SK_U_2_004;SK_U_0_009,SK_N_5_001;SK_N_5_002;SK_N_4_005;SK_N_4_009;SK_N_3_010;SK_N_4_014;SK_N_3_019;SK_N_3_020;SK_N_5_021;SK_N_5_022;SK_N_5_023;SK_N_4_026;SK_N_3_027;SK_N_4_028;SK_N_3_035;SK_N_3_039;SK_N_2_045;SK_N_3_047;SK_N_0_052;SK_N_0_060
