Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,PlayerWin,7,4,0,66.1,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:472|Status:0,Direct:161|Status:0,20,0,None,None,Norm:21|Ult:2,Norm:9
2,PlayerWin,7,4,0,70.6,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:442|Status:0,Direct:140|Status:0,23,0,None,None,Norm:21|Ult:2,Norm:9
3,PlayerWin,7,4,0,72.1,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:504|Status:0,Direct:132|Status:0,17,0,None,None,Norm:21|Ult:2,Norm:7
4,PlayerWin,7,4,0,68.1,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:479|Status:0,Direct:150|Status:0,18,0,None,None,Norm:20|Ult:2,Norm:10
5,PlayerWin,7,4,0,68.8,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:425|Status:0,Direct:147|Status:0,22,0,None,None,Norm:21|Ult:2,Norm:7
6,PlayerWin,7,4,0,75.3,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:361|Status:0,Direct:118|Status:0,23,0,None,None,Ult:1|Norm:21,Norm:7
7,PlayerWin,7,4,0,74.2,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:448|Status:0,Direct:120|Status:0,12,0,None,None,Norm:20|Ult:2,Norm:7
8,PlayerWin,7,4,0,71.5,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:378|Status:0,Direct:133|Status:0,25,0,None,None,Norm:23|Ult:1,Norm:7
9,PlayerWin,7,4,0,70.8,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:443|Status:0,Direct:139|Status:0,26,0,None,None,Ult:2|Norm:21,Norm:8
10,PlayerWin,7,4,0,73.0,0.0,0,0,Utility:10|Aggressive:13|DebuffToEnemy:5|Heal:1|BuffToAlly:1,Utility:6|Aggressive:12|DebuffToEnemy:7|BuffToAlly:2,Direct:467|Status:0,Direct:139|Status:0,19,0,None,None,Norm:20|Ult:2,Norm:7
