Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:228|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:2,None
2,PlayerWin,3,4,0,90.8,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:226|Status:0,Direct:40|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:2
3,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:236|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
4,PlayerWin,3,4,0,89.2,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:47|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:4
5,PlayerWin,2,4,0,98.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:261|Status:0,Direct:5|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:1
6,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:2,None
7,PlayerWin,2,4,0,99.1,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:4|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
8,PlayerWin,2,4,0,98.6,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:6|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
9,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:243|Status:0,Direct:0|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:1
10,PlayerWin,2,4,0,98.6,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:264|Status:0,Direct:6|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
11,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:221|Status:0,Direct:0|Status:0,0,0,None,None,Norm:7|Ult:1,Norm:2
12,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:236|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:2
13,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:260|Status:0,Direct:0|Status:0,0,0,None,None,Norm:2|Ult:1,Norm:2
14,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:248|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
15,PlayerWin,2,4,0,98.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:5|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:1
16,PlayerWin,2,4,0,97.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:9|Status:0,0,0,None,None,Norm:6|Ult:1,Norm:4
17,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
18,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:223|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
19,PlayerWin,2,4,0,98.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:242|Status:0,Direct:5|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:1
20,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:3|Heal:1|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:6,Norm:1
