Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:230|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
2,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
3,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:220|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
4,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:238|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
5,PlayerWin,3,4,0,91.9,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:253|Status:0,Direct:40|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
6,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:218|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:2
7,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:221|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
8,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:212|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
9,PlayerWin,2,4,0,98.2,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:243|Status:0,Direct:9|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:4
10,PlayerWin,3,4,0,99.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:244|Status:0,Direct:5|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:3
11,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
12,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
13,PlayerWin,3,4,0,89.9,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:50|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:5
