Sim_ID,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Count
1,0.250,0.164,0.2,0.678,0.000,0.322,0.000,0.209,0
2,0.250,0.140,0.1,0.494,0.000,0.519,0.000,0.306,1
3,0.250,0.166,0.2,0.532,0.000,0.468,0.000,0.282,0
4,0.250,0.060,0.1,0.526,0.000,0.487,0.000,0.284,1
5,0.250,0.058,0.1,0.506,0.000,0.494,0.000,0.306,1
6,0.250,0.048,0.1,0.468,0.000,0.545,0.000,0.313,1
7,0.250,0.135,0.1,0.466,0.000,0.548,0.000,0.324,0
8,0.250,0.154,0.2,0.481,0.000,0.519,0.000,0.300,0
9,0.250,0.031,0.2,0.538,0.000,0.463,0.000,0.273,0
10,0.250,0.055,0.1,0.563,0.000,0.450,0.000,0.273,1
