Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
1,1,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
2,3,1.000,0.908,10.0,0.556,0.000,0.556,0.000,0.000,0.000
3,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
4,3,1.000,0.892,0.0,0.556,0.000,0.667,0.000,0.000,0.000
5,2,1.000,0.989,0.0,0.500,0.000,0.500,0.000,0.000,0.000
6,1,1.000,1.000,0.0,0.667,0.000,0.000,0.000,0.000,0.000
7,2,1.000,0.991,0.0,0.600,0.000,0.600,0.000,0.000,0.000
8,2,1.000,0.986,0.0,0.800,0.000,0.400,0.000,0.000,0.000
9,2,1.000,1.000,0.0,0.667,0.000,0.500,0.000,0.000,0.000
10,2,1.000,0.986,0.0,1.000,0.000,0.600,0.000,0.000,0.000
11,2,1.000,1.000,0.0,0.625,0.000,0.625,0.000,0.000,0.000
12,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
13,1,1.000,1.000,0.0,1.000,0.000,0.333,0.000,0.000,0.000
14,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
15,2,1.000,0.989,0.0,0.500,0.000,0.500,0.000,0.000,0.000
16,2,1.000,0.979,0.0,0.857,0.000,0.429,0.000,0.000,0.000
17,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
18,2,1.000,1.000,0.0,0.667,0.000,0.667,0.000,0.000,0.000
19,2,1.000,0.989,0.0,0.500,0.000,0.667,0.000,0.000,0.000
20,2,1.000,1.000,0.0,0.571,0.000,0.571,0.000,0.000,0.000
21,3,1.000,0.975,0.0,0.556,0.000,0.667,0.000,0.000,0.000
22,2,1.000,0.989,0.0,0.800,0.000,0.600,0.000,0.000,0.000
23,1,1.000,1.000,0.0,1.000,0.000,0.250,0.000,0.000,0.000
24,1,1.000,0.986,0.0,1.000,0.000,0.000,0.000,0.000,0.000
25,1,1.000,0.991,0.0,1.000,0.000,0.333,0.000,0.000,0.000
26,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
27,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
28,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
29,3,1.000,0.975,0.0,0.778,0.000,0.556,0.000,0.000,0.000
30,2,1.000,0.991,0.0,0.800,0.000,0.400,0.000,0.000,0.000
31,2,1.000,1.000,0.0,0.500,0.000,0.667,0.000,0.000,0.000
32,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
33,3,1.000,0.894,0.0,0.700,0.000,0.500,0.000,0.000,0.000
34,2,1.000,0.986,0.0,0.800,0.000,0.600,0.000,0.000,0.000
35,2,1.000,0.986,0.0,0.600,0.000,0.400,0.000,0.000,0.000
36,1,1.000,1.000,0.0,0.500,0.000,0.250,0.000,0.000,0.000
37,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
38,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
39,1,1.000,1.000,0.0,1.000,0.000,0.500,0.000,0.000,0.000
40,2,1.000,0.986,0.0,0.600,0.000,0.400,0.000,0.000,0.000
41,2,1.000,0.991,0.0,0.600,0.000,0.600,0.000,0.000,0.000
42,1,1.000,0.991,0.0,1.000,0.000,0.250,0.000,0.000,0.000
43,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
44,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
45,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
46,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
47,2,1.000,0.991,0.0,0.800,0.000,0.600,0.000,0.000,0.000
48,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
49,2,1.000,1.000,0.0,0.571,0.000,0.571,0.000,0.000,0.000
50,2,1.000,0.986,0.0,0.500,0.000,0.833,0.000,0.000,0.000
51,2,1.000,0.991,0.0,1.000,0.000,0.600,0.000,0.000,0.000
52,2,1.000,0.989,0.0,0.667,0.000,0.333,0.000,0.000,0.000
53,2,1.000,1.000,0.0,0.833,0.000,0.667,0.000,0.000,0.000
54,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
55,2,1.000,0.991,0.0,0.800,0.000,0.400,0.000,0.000,0.000
56,4,1.000,0.772,0.0,0.643,0.000,0.500,0.000,0.000,0.000
57,2,1.000,1.000,0.0,1.000,0.000,0.400,0.000,0.000,0.000
58,2,1.000,0.991,0.0,0.600,0.000,0.400,0.000,0.000,0.000
59,1,1.000,1.000,0.0,0.667,0.000,0.000,0.000,0.000,0.000
60,3,1.000,0.989,10.0,0.667,0.000,0.556,0.000,0.000,0.000
61,1,1.000,0.991,0.0,1.000,0.000,0.333,0.000,0.000,0.000
62,2,1.000,0.989,0.0,0.667,0.000,0.667,0.000,0.000,0.000
63,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
64,2,1.000,1.000,0.0,0.600,0.000,0.800,0.000,0.000,0.000
65,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
66,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
67,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
68,3,1.000,0.903,10.0,0.556,0.000,0.556,0.000,0.000,0.000
69,1,1.000,1.000,0.0,1.000,0.000,0.333,0.000,0.000,0.000
70,2,1.000,0.989,0.0,0.800,0.000,0.400,0.000,0.000,0.000
71,2,1.000,0.989,0.0,0.600,0.000,0.400,0.000,0.000,0.000
72,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
73,1,1.000,1.000,0.0,1.000,0.000,0.333,0.000,0.000,0.000
74,3,1.000,0.890,0.0,0.556,0.000,0.556,0.000,0.000,0.000
75,2,1.000,1.000,0.0,0.600,0.000,0.800,0.000,0.000,0.000
76,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
77,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
78,1,1.000,1.000,0.0,0.667,0.000,0.000,0.000,0.000,0.000
79,3,1.000,0.869,0.0,0.667,0.000,0.556,0.000,0.000,0.000
80,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
